taxa,PC1,PC2,PC3,PC4,PC5
PDAC253_Ram_S,116.861391494375,-5.02530775792036,29.8601963202157,-89.7057365707342,-51.4222430626094
PDAC254_Rij_S,81.3027230104651,24.9603587947856,2.64695549027088,11.9660517334116,-70.16195470343
PDAC255_Sin_S,7.76265805997132,-42.3644132253749,-2.22009441493881,72.7155814776698,-5.89525495068779
PDAC256_Alm_S,100.374378672966,21.7336064709449,5.84457424559247,-79.4684592160026,-76.5039221979036
PDAC257_Hil_S,-48.2100013263282,-21.2824106688031,-63.1642659337182,-24.204631325669,-74.1934985660209
PDAC258_Ale_S,-81.8488785117847,-27.5029127658924,22.9491970843923,-51.2323073118232,22.4274504839895
PDAC259_Asi_S,89.7537707683713,-7.60395702386205,4.19917342698577,-36.1585665347838,56.7660174969183
PDAC260_Zam_S,-15.6617480136847,-86.3061031003051,-40.021948908036,5.04600172025298,4.19519609579847
PDAC261_Fre_S,83.74772996465,22.9601338358087,-2.42885905451449,-51.4068824730549,-34.1456784248761
PDAC262_She_S,86.2195674823056,-43.7647342821927,21.3782160094208,-55.123485109762,9.90681514701995
PDAC263_Jei_S,-22.6990002963462,-44.189240665873,10.4464512397661,79.650325293535,5.33412054658529
PDAC264_Lab_S,-66.568376491735,44.9462623732892,12.2526123709924,-43.1926737321892,-63.0015626192121
PDAC265_Mab_S,25.6117105801346,-8.46306550568938,23.2769491994141,52.6529798480384,45.6992570710437
PDAC266_Hel_S,54.0989376303858,-63.6951429479556,10.4500314085221,85.3906380321739,0.819133668890718
PDAC267_Rot_S,-5.93503252377106,-55.4253197842776,-17.6961884091611,36.4811268914807,27.1672827456798
PDAC268_Has_S,5.72175042523468,-54.4898349098957,2.04391583368734,52.2940618322661,30.8718426009684
PDAC270_Kho_S,89.9818816684534,-2.01359072204793,-3.16492493793873,-56.5987761590407,-52.1386757277547
PDAC271_Nbt_S,94.5295452946805,-13.9772816006217,26.868365623957,-44.8118199500916,1.70532776660045
PDAC272_Tin_S,49.0496019639552,-19.5715586128305,7.54896693769177,-10.0308534073367,-46.9756878633093
PDAC273_Rar_S,-64.8997008931736,-2.23363599615673,68.2401170135336,-3.43806206277526,20.5536099293558
PDAC274_Far_S,-46.501968093353,-52.7144707016984,85.3188581646475,66.8597340442464,51.5551008424308
PDAC275_Kha_S,-19.4524690044748,-66.4899956933395,-27.9960892452686,42.5918560266652,9.61931620749164
PDAC276_Ald_S,18.8188031823114,-83.0673947630577,-7.72140573439893,104.691624550694,-6.7089941183585
PDAC277_Khi_S,-0.921516756467674,55.9679287235951,-81.4301733554873,12.1755937738788,-48.0829127161893
PDAC278_Umi_S,79.906505582874,-49.2007379363055,13.1031478565772,-75.0940877813873,-1.40464954486676
PDAC279_Nbt_S,-11.8869022878501,-72.5889586481616,-19.3554004229737,66.1734020564917,-6.03354534388159
PDAC280_Tin_S,-71.3890372872527,-33.2849574301236,-109.378609358329,-35.3246617308538,-29.319975365301
PDAC281_Hje_S,14.1569997803598,11.1801744171435,22.3688385712736,-5.25682452901648,63.8310704664299
PDAC282_Sou_S,105.474240527119,63.1007993135766,-9.37486664555809,-8.09275252136962,-81.4176694156371
PDAC283_Abo_S,0.0356645983847415,-80.9057643113332,-40.7972586868551,34.1751131031018,-24.4572815734677
PDAC284_Rot_S,64.7031679555882,7.55211779135,-11.141028930527,12.7785708208627,56.8603971988322
PDAC285_Sou_S,12.7605229324877,8.52312836055812,-28.0009926127519,8.0016058941184,28.7760652405482
PDAC286_Sou_S,133.382290234146,-45.9238827847509,38.8284218088733,-108.028112146606,-23.618096118319
PDAC287_Wan_S,117.623681954654,-42.5241591789914,31.4921666539378,-68.4069232595627,-6.5131904013587
PDAC288_Saf_S,46.7185672041679,-16.8434181253916,16.7808937829186,92.3865321490183,-31.3378389039384
PDAC289_Aiy_S,35.3493334443375,-12.4513072884866,22.6784373492141,55.2230450644869,-5.16471287447843
PDAC290_Chi_S,3.4821829295867,-8.98397505944776,-34.7082198834063,20.1412441599617,-32.6793454261232
PDAC291_Nbt_S,110.919314115722,-29.0599438579867,34.3322027124853,-79.5040165972733,-33.2382297054232
PDAC292_Mej_S,61.718358988263,7.85355520412818,23.2334858904423,35.5103841633855,0.425986406812665
PDAC293_Nbt_S,109.414931338459,-8.36005989128399,13.4912698416504,-64.1990133192709,-14.532333849248
PDAC294_Ash_S,88.4342800525305,9.17045273743031,1.19907988300689,-33.6399736706419,34.0146243832315
PDAC295_Mor_S,-65.4309158020045,46.4027654701051,2.80884183228641,-30.3640029318442,-61.2680890485292
PDAC296_Neb_S,100.509378460283,-27.8971340698106,17.5478169334036,-72.7694141482611,-29.4498135627195
PDAC297_Sab_S,22.8955183811055,-19.486173700194,-7.21697770306514,106.982654864713,-57.5229378640825
PDAC298_Sag_S,6.02547381647896,-36.1679480429374,-15.5403640868284,22.8300906608079,47.1727516705867
PDAC299_Raz_S,-80.0069990755258,-28.613426046768,-8.25830575798823,-68.8528416971713,17.4175180778168
PDAC300_Mak_S,-5.5555863572675,-31.2033233658425,0.431341407090308,10.9916365343386,27.6539398217379
PDAC301_Jei_S,-68.6966729456326,-25.9651492186151,34.5192637215891,-33.8237389545943,32.6608212442796
PDAC302_Sul_S,11.0287942360152,73.2512595590025,-62.6744951960834,75.4345431273836,-107.955452781305
PDAC303_Sha_S,75.6560867132899,37.6366617405731,-6.31749260503059,-10.0580665078159,-62.8222401955612
PDAC304_Sah_S,-11.2326726161908,-73.8965273670789,-51.0955657119425,65.5275150522526,-20.4843098401938
